Date,Open,High,Low,Close,Adj Close,Volume
2013-11-01,10.830000,10.830000,10.830000,10.830000,6.623627,0
2013-11-04,10.850000,10.850000,10.850000,10.850000,6.635859,0
2013-11-05,10.830000,10.830000,10.830000,10.830000,6.623627,0
2013-11-06,10.870000,10.870000,10.870000,10.870000,6.648091,0
2013-11-07,10.880000,10.880000,10.880000,10.880000,6.654205,0
2013-11-08,10.810000,10.810000,10.810000,10.810000,6.611397,0
2013-11-11,10.800000,10.800000,10.800000,10.800000,6.605278,0
2013-11-12,10.800000,10.800000,10.800000,10.800000,6.605278,0
2013-11-13,10.830000,10.830000,10.830000,10.830000,6.623627,0
2013-11-14,10.870000,10.870000,10.870000,10.870000,6.648091,0
2013-11-15,10.870000,10.870000,10.870000,10.870000,6.648091,0
2013-11-18,10.890000,10.890000,10.890000,10.890000,6.660326,0
2013-11-19,10.870000,10.870000,10.870000,10.870000,6.648091,0
2013-11-20,10.870000,10.870000,10.870000,10.870000,6.648091,0
2013-11-21,10.870000,10.870000,10.870000,10.870000,6.648091,0
2013-11-22,10.880000,10.880000,10.880000,10.880000,6.654205,0
2013-11-25,10.870000,10.870000,10.870000,10.870000,6.648091,0
2013-11-26,10.870000,10.870000,10.870000,10.870000,6.648091,0
2013-11-27,10.870000,10.870000,10.870000,10.870000,6.648091,0
2013-11-29,10.870000,10.870000,10.870000,10.870000,6.661573,0
2013-12-02,10.840000,10.840000,10.840000,10.840000,6.643189,0
2013-12-03,10.840000,10.840000,10.840000,10.840000,6.643189,0
2013-12-04,10.810000,10.810000,10.810000,10.810000,6.624806,0
2013-12-05,10.810000,10.810000,10.810000,10.810000,6.624806,0
2013-12-06,10.830000,10.830000,10.830000,10.830000,6.637061,0
2013-12-09,10.820000,10.820000,10.820000,10.820000,6.630931,0
2013-12-10,10.850000,10.850000,10.850000,10.850000,6.649316,0
2013-12-11,10.810000,10.810000,10.810000,10.810000,6.624806,0
2013-12-12,10.780000,10.780000,10.780000,10.780000,6.606419,0
2013-12-13,10.790000,10.790000,10.790000,10.790000,6.612549,0
2013-12-16,10.800000,10.800000,10.800000,10.800000,6.618674,0
2013-12-17,10.830000,10.830000,10.830000,10.830000,6.637061,0
2013-12-18,10.820000,10.820000,10.820000,10.820000,6.630931,0
2013-12-19,10.790000,10.790000,10.790000,10.790000,6.612549,0
2013-12-20,10.590000,10.590000,10.590000,10.590000,6.606930,0
2013-12-23,10.570000,10.570000,10.570000,10.570000,6.594453,0
2013-12-24,10.540000,10.540000,10.540000,10.540000,6.575736,0
2013-12-26,10.550000,10.550000,10.550000,10.550000,6.581975,0
2013-12-27,10.560000,10.560000,10.560000,10.560000,6.588215,0
2013-12-30,10.590000,10.590000,10.590000,10.590000,6.606930,0
2013-12-31,10.580000,10.580000,10.580000,10.580000,6.618189,0
2014-01-02,10.590000,10.590000,10.590000,10.590000,6.624445,0
2014-01-03,10.580000,10.580000,10.580000,10.580000,6.618189,0
2014-01-06,10.600000,10.600000,10.600000,10.600000,6.630697,0
2014-01-07,10.610000,10.610000,10.610000,10.610000,6.636959,0
2014-01-08,10.550000,10.550000,10.550000,10.550000,6.599424,0
2014-01-09,10.560000,10.560000,10.560000,10.560000,6.605680,0
