"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 22, 2021","3.6230","3.6310","3.6310","3.5725","1.11K","-0.60%"
"Jan 21, 2021","3.6450","3.6510","3.6675","3.6335","0.56K","0.25%"
"Jan 20, 2021","3.6360","3.6215","3.6460","3.6210","0.48K","0.23%"
"Jan 19, 2021","3.6275","3.5620","3.6365","3.5620","0.81K","0.30%"
"Jan 18, 2021","3.6168","3.5762","3.6488","3.5737","-","1.14%"
"Jan 17, 2021","3.5760","3.6000","3.6060","3.5585","-","-0.76%"
"Jan 15, 2021","3.6035","3.6700","3.6750","3.5900","0.32K","-1.58%"
"Jan 14, 2021","3.6615","3.6285","3.6640","3.6285","1.54K","1.22%"
"Jan 13, 2021","3.6175","3.6360","3.6425","3.6135","0.96K","0.33%"
"Jan 12, 2021","3.6055","3.5860","3.6375","3.5860","0.61K","1.02%"
"Jan 11, 2021","3.5690","3.6685","3.6685","3.5565","0.26K","-3.03%"
"Jan 08, 2021","3.6805","3.7335","3.7335","3.6460","0.75K","-0.53%"
"Jan 07, 2021","3.7000","3.6730","3.7125","3.6525","0.45K","1.23%"
"Jan 06, 2021","3.6550","3.6560","3.6990","3.6375","0.42K","0.34%"
"Jan 05, 2021","3.6425","3.5955","3.6565","3.5925","0.88K","2.27%"
"Jan 04, 2021","3.5615","3.5400","3.6060","3.5400","0.22K","1.18%"
"Jan 01, 2021","3.5200","3.5200","3.5200","3.5200","-","-0.11%"
"Dec 31, 2020","3.5240","3.5340","3.5340","3.5245","0.04K","-0.86%"
"Dec 30, 2020","3.5545","3.5495","3.5755","3.5495","0.23K","-0.07%"
"Dec 29, 2020","3.5570","3.5675","3.5690","3.5640","0.02K","-0.50%"
"Dec 28, 2020","3.5750","3.5860","3.6170","3.5810","0.57K","0.27%"
"Dec 24, 2020","3.5655","3.5520","3.5655","3.5520","0.07K","0.14%"
"Dec 23, 2020","3.5605","3.5005","3.5680","3.4980","0.07K","0.92%"
"Dec 22, 2020","3.5280","3.5800","3.5800","3.5250","0.57K","-1.59%"
"Dec 21, 2020","3.5850","3.6530","3.6530","3.5675","0.20K","-1.35%"
"Dec 18, 2020","3.6340","3.5910","3.6440","3.5910","0.54K","0.93%"
"Dec 17, 2020","3.6005","3.5675","3.6070","3.5675","0.16K","1.14%"
"Dec 16, 2020","3.5600","3.5445","3.5760","3.5445","0.24K","0.30%"
"Dec 15, 2020","3.5495","3.5230","3.5495","3.5230","0.18K","0.34%"
"Dec 14, 2020","3.5375","3.5535","3.5585","3.5270","0.37K","0.08%"
"Dec 11, 2020","3.5345","3.5945","3.6065","3.5035","0.33K","-1.15%"
"Dec 10, 2020","3.5755","3.5185","3.5895","3.5185","0.60K","1.59%"
"Dec 09, 2020","3.5195","3.5175","3.5415","3.4965","0.52K","0.30%"
"Dec 08, 2020","3.5090","3.5105","3.5105","3.4925","0.30K","-0.47%"
"Dec 07, 2020","3.5255","3.5370","3.5420","3.4880","1.06K","-0.06%"
"Dec 04, 2020","3.5275","3.5125","3.5330","3.5040","0.22K","1.00%"
"Dec 03, 2020","3.4925","3.4875","3.5170","3.4670","0.26K","0.11%"
"Dec 02, 2020","3.4885","3.5020","3.5030","3.4490","0.51K","-0.07%"
"Dec 01, 2020","3.4910","3.4800","3.5205","3.4775","0.38K","1.38%"
"Nov 30, 2020","3.4435","3.4245","3.4995","3.4245","0.25K","0.64%"
"Nov 27, 2020","3.4215","3.3585","3.4200","3.3585","0.10K","2.20%"
"Nov 26, 2020","3.3478","3.3117","3.3585","3.3090","-","0.20%"
"Nov 25, 2020","3.3410","3.3405","3.3450","3.3140","0.17K","0.44%"
"Nov 24, 2020","3.3265","3.3000","3.3275","3.3000","0.08K","1.19%"
"Nov 23, 2020","3.2875","3.2750","3.2750","3.2675","0.11K","-0.80%"
"Nov 20, 2020","3.3140","3.2350","3.3120","3.2350","0.37K","2.54%"
"Nov 19, 2020","3.2320","3.2115","3.2425","3.2020","0.20K","0.20%"
"Nov 18, 2020","3.2255","3.2600","3.2600","3.2225","0.25K","0.05%"
"Nov 17, 2020","3.2240","3.2295","3.2295","3.2005","0.33K","-0.52%"
"Nov 16, 2020","3.2410","3.2590","3.2590","3.2265","0.36K","1.44%"
"Nov 13, 2020","3.1950","3.1790","3.2045","3.1790","0.11K","0.98%"
"Nov 12, 2020","3.1640","3.1745","3.1760","3.1660","0.06K","0.29%"
"Nov 11, 2020","3.1550","3.1730","3.1730","3.1540","0.02K","-0.74%"
"Nov 10, 2020","3.1785","3.1355","3.1355","3.1355","0.14K","0.13%"
"Nov 09, 2020","3.1745","3.2090","3.2090","3.1590","0.15K","0.03%"
"Nov 06, 2020","3.1735","3.1675","3.1675","3.1650","0.19K","1.54%"
"Nov 05, 2020","3.1255","3.1270","3.1270","3.1270","0.18K","0.30%"
"Nov 04, 2020","3.1160","3.0950","3.1225","3.0505","0.54K","0.55%"
"Nov 03, 2020","3.0990","3.1235","3.1235","3.0970","0.30K","0.13%"
"Nov 02, 2020","3.0950","3.1010","3.1010","3.0845","0.09K","0.95%"
"Oct 30, 2020","3.0660","3.0640","3.0775","3.0575","0.08K","-0.23%"
"Oct 29, 2020","3.0730","3.0680","3.0865","3.0680","0.02K","-0.23%"
"Oct 28, 2020","3.0800","3.1115","3.1205","3.0830","0.10K","-0.95%"
"Oct 27, 2020","3.1095","3.1085","3.1085","3.1070","0.08K","0.34%"
"Oct 26, 2020","3.0990","3.0900","3.0985","3.0900","0.08K","-1.20%"
"Oct 23, 2020","3.1365","3.1435","3.1435","3.1435","0.07K","-0.67%"
"Oct 22, 2020","3.1575","3.1490","3.1560","3.1490","0.29K","-1.10%"
"Oct 21, 2020","3.1925","3.1755","3.2000","3.1755","0.14K","1.51%"
"Oct 20, 2020","3.1450","3.1300","3.1420","3.1295","0.14K","1.62%"
"Oct 19, 2020","3.0950","3.1030","3.1055","3.0990","0.21K","0.52%"
"Oct 16, 2020","3.0790","3.0915","3.0955","3.0830","0.51K","-0.74%"
"Oct 15, 2020","3.1020","3.0660","3.1040","3.0605","0.20K","0.81%"
"Oct 14, 2020","3.0770","3.0755","3.0775","3.0740","0.02K","0.29%"
"Oct 13, 2020","3.0680","3.0710","3.0710","3.0525","0.05K","-0.50%"
"Oct 12, 2020","3.0835","3.0855","3.0855","3.0855","0.04K","-0.19%"
"Oct 09, 2020","3.0895","3.0810","3.0910","3.0800","0.12K","1.15%"
"Oct 08, 2020","3.0545","3.0520","3.0520","3.0520","0.21K","-0.08%"
"Oct 07, 2020","3.0570","3.0050","3.0495","3.0050","0.14K","2.09%"
"Oct 06, 2020","2.9945","2.9890","2.9975","2.9820","0.12K","0.08%"
"Oct 05, 2020","2.9920","2.9700","2.9870","2.9700","0.03K","-0.35%"
"Oct 02, 2020","3.0025","2.8995","2.9960","2.8995","0.10K","3.77%"
"Oct 01, 2020","2.8935","2.9785","2.9785","2.8900","0.11K","-5.22%"
"Sep 30, 2020","3.0530","3.0420","3.0420","3.0420","0.19K","1.51%"
"Sep 29, 2020","3.0075","3.0150","3.0150","3.0150","0.14K","-0.13%"
"Sep 28, 2020","3.0115","3.0210","3.0210","3.0000","0.14K","0.85%"
"Sep 25, 2020","2.9860","2.9940","2.9950","2.9940","0.24K","0.13%"
"Sep 24, 2020","2.9820","2.9450","2.9810","2.9450","0.34K","-0.85%"
"Sep 23, 2020","3.0075","3.0190","3.0190","2.9780","0.34K","-1.84%"
"Sep 22, 2020","3.0640","3.0780","3.0780","3.0725","0.19K","1.01%"
"Sep 21, 2020","3.0335","3.1085","3.1085","3.0425","0.92K","-2.80%"
"Sep 18, 2020","3.1210","3.1000","3.1010","3.1000","0.96K","1.02%"
"Sep 17, 2020","3.0895","3.0490","3.0905","3.0490","0.03K","0.11%"
"Sep 16, 2020","3.0860","3.0850","3.0850","3.0850","0.04K","-0.13%"
"Sep 15, 2020","3.0900","3.0980","3.0980","3.0980","0.03K","-0.18%"
"Sep 14, 2020","3.0955","3.0840","3.0995","3.0840","0.16K","0.93%"
"Sep 11, 2020","3.0670","3.0575","3.0705","3.0575","0.05K","1.24%"
"Sep 10, 2020","3.0295","3.0450","3.0735","3.0325","0.01K","-1.72%"
"Sep 09, 2020","3.0825","3.0575","3.0730","3.0575","0.01K","0.83%"
"Sep 08, 2020","3.0570","3.1000","3.1000","3.0450","0.16K","-0.41%"
"Sep 07, 2020","3.0697","3.0740","3.0880","3.0427","-","-0.16%"
"Sep 06, 2020","3.0745","3.0790","3.0790","3.0623","-","-0.49%"
"Sep 04, 2020","3.0895","3.0040","3.0040","3.0040","0.25K","2.61%"
"Sep 03, 2020","3.0110","3.0075","3.0080","3.0075","0.08K","-1.46%"
"Sep 02, 2020","3.0555","3.0425","3.0490","3.0425","0.01K","-0.15%"
"Sep 01, 2020","3.0600","3.0560","3.0560","3.0560","0.02K","-1.02%"
"Aug 31, 2020","3.0915","3.0745","3.0745","3.0745","0.02K","1.54%"
"Aug 28, 2020","3.0445","3.0560","3.0560","3.0560","0.08K","0.73%"
"Aug 27, 2020","3.0225","3.0165","3.0165","3.0165","0.04K","0.23%"
"Aug 26, 2020","3.0155","3.0050","3.0050","3.0050","0.01K","0.84%"
"Aug 25, 2020","2.9905","2.9855","2.9890","2.9740","0.03K","0.13%"
"Aug 24, 2020","2.9865","2.9920","2.9920","2.9920","0.00K","0.49%"
"Aug 21, 2020","2.9720","2.9670","2.9700","2.9605","0.10K","-1.80%"
"Aug 20, 2020","3.0265","3.0295","3.0295","3.0215","0.04K","-1.29%"
"Aug 19, 2020","3.0660","3.0330","3.0670","3.0330","0.11K","1.37%"
"Aug 18, 2020","3.0245","2.9710","3.0000","2.9710","0.07K","1.92%"
"Aug 17, 2020","2.9675","2.9475","2.9625","2.9425","0.00K","1.42%"
"Aug 14, 2020","2.9260","2.9250","2.9250","2.9180","0.01K","1.61%"
"Aug 13, 2020","2.8795","2.9245","2.9250","2.8530","0.00K","-2.55%"
"Aug 12, 2020","2.9550","2.9215","2.9470","2.9130","0.01K","0.46%"
"Aug 11, 2020","2.9415","2.9185","2.9300","2.9180","0.02K","0.44%"
"Aug 10, 2020","2.9285","2.8445","2.9375","2.8445","0.00K","2.27%"
"Aug 07, 2020","2.8635","2.8500","2.8500","2.8500","0.00K","-3.93%"
"Aug 06, 2020","2.9805","2.9715","2.9715","2.9715","0.02K","0.00%"
"Aug 05, 2020","2.9805","2.9690","2.9865","2.9665","0.02K","0.57%"
"Aug 04, 2020","2.9635","2.9725","2.9725","2.9420","0.03K","-0.37%"
"Aug 03, 2020","2.9745","2.9690","2.9690","2.9690","0.01K","1.57%"
"Jul 31, 2020","2.9285","2.9130","2.9135","2.9130","0.05K","-1.21%"
"Jul 30, 2020","2.9645","2.9465","2.9550","2.9355","0.01K","-0.08%"
"Jul 29, 2020","2.9670","2.9550","2.9550","2.9550","0.02K","0.07%"
"Jul 28, 2020","2.9650","2.9380","2.9380","2.9380","0.02K","0.68%"
"Jul 27, 2020","2.9450","2.9575","2.9575","2.9555","0.01K","0.48%"
"Jul 24, 2020","2.9310","2.9255","2.9385","2.9055","0.06K","-1.33%"
"Jul 23, 2020","2.9705","2.9700","2.9700","2.9700","0.02K","0.17%"
"Jul 22, 2020","2.9655","2.9900","3.0200","2.9900","0.01K","-1.18%"
"Jul 21, 2020","3.0010","2.9985","2.9985","2.9985","0.01K","1.37%"
"Jul 20, 2020","2.9605","2.9420","2.9420","2.9420","0.03K","0.51%"
"Jul 17, 2020","2.9455","2.9250","2.9415","2.9245","0.03K","0.12%"
"Jul 16, 2020","2.9420","2.9240","2.9310","2.9240","0.01K","0.46%"
"Jul 15, 2020","2.9285","2.9815","2.9815","2.9815","0.03K","-1.61%"
"Jul 14, 2020","2.9765","2.9795","2.9795","2.9680","0.08K","-0.52%"
"Jul 13, 2020","2.9920","3.0245","3.0245","2.9650","0.03K","1.84%"
